,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Nov-1985 00:00:00',469.1348,400.3154,8.05,7.88,8.58,0.29036
'01-Dec-1985 00:00:00',469.5925,401.3395,8.27,7.67,8.15,0.032192
'01-Jan-1986 00:00:00',469.9571,401.8288,8.14,7.73,8.14,0.338187
'01-Feb-1986 00:00:00',469.7749,401.0961,7.86,7.61,7.97,-0.28549
'01-Mar-1986 00:00:00',469.2265,400.4648,7.48,7.03,7.21,0.58569
'01-Apr-1986 00:00:00',468.8592,400.5333,6.99,6.44,6.7,0.54437
'01-May-1986 00:00:00',469.1348,400.708,6.85,6.65,7.07,0.030158
'01-Jun-1986 00:00:00',469.5011,400.386,6.92,6.73,7.18,0.022068
'01-Jul-1986 00:00:00',469.5925,401.0294,6.56,6.27,6.67,0.773264
'01-Aug-1986 00:00:00',469.6837,400.8137,6.17,5.93,6.33,0.70852
'01-Sep-1986 00:00:00',470.048,400.9872,5.89,5.77,6.35,0.314005
'01-Oct-1986 00:00:00',470.2297,401.4457,5.85,5.72,6.28,0.545463
'01-Nov-1986 00:00:00',470.411,401.9075,6.04,5.8,6.28,0.669255
'01-Dec-1986 00:00:00',470.7727,402.7786,6.91,5.87,6.27,0.699041
'01-Jan-1987 00:00:00',471.3127,402.4543,6.43,5.78,6.23,0.554116
'01-Feb-1987 00:00:00',471.6712,403.7386,6.1,5.96,6.4,0.630779
'01-Mar-1987 00:00:00',472.0283,403.8953,6.13,6.03,6.42,0.518992
'01-Apr-1987 00:00:00',472.4729,404.4934,6.37,6.5,7.02,-0.384307
'01-May-1987 00:00:00',472.7388,405.175,6.85,7,7.76,0.259175
'01-Jun-1987 00:00:00',473.1803,405.699,6.73,6.8,7.57,0.244076
'01-Jul-1987 00:00:00',473.4442,406.338,6.58,6.68,7.44,0.484995
'01-Aug-1987 00:00:00',473.8827,407.0586,6.73,7.03,7.75,0.469987
'01-Sep-1987 00:00:00',474.232,407.324,7.22,7.67,8.34,0.492706
'01-Oct-1987 00:00:00',474.4932,408.8293,7.29,7.59,8.4,-0.843692
'01-Nov-1987 00:00:00',474.8404,409.3584,6.69,6.96,7.69,0.264651
'01-Dec-1987 00:00:00',475.0136,409.8235,6.77,7.17,7.86,0.006715
'01-Jan-1988 00:00:00',475.359,409.8669,6.83,6.99,7.63,-0.181428
